Date,Item, Category , Cash Jaz , Credit Jaz , Debit BBVA Jaz , Debit HSBC Jaz , Groceries Jaz , Cash Ivan , Credit Ivan Hey , Credit Ivan BBVA , Debit Ivan , Groceries Ivan 
9/Oct/2021,Elotes, Eat Out ,,,,,, $ 130.00 ,,,,
10/Oct/2021,Walmart, Food Med ,,,,,,," $ 1,191.45 ",,," $ 1,294.99 "
9/Oct/2021,Semana Reyna, Food Med ,,," $ 1,500.00 ",,,,,,,
14/Oct/2021,Amazon, Food Med ,,,,,,," $ 2,304.44 ",,,
15/Oct/2021,Shein, Clothes ,, $ 776.49 ,,,,,,,,
15/Oct/2021,Beer, Eat Out ,,,,,, $ 38.00 ,,,,
16/Oct/2021,Peltre, Eat Out ,,,,,,, $ 553.15 ,,,
16/Oct/2021,Virgin, Services ,,,,,,, $ 150.00 ,,,
16/Oct/2021,Cert Medico, Services ,,,,,, $ 40.00 ,,,,
16/Oct/2021,Pediatra, Baby ,,," $ 1,000.00 ",,,,,,,
16/Oct/2021,Alitas, Eat Out ,,,,,,, $ 170.00 ,,,
16/Oct/2021,Pizza, Eat Out ,,,,,,,,,,
17/Oct/2021,Walmart, Food Med ,,,,," $ 1,044.13 ",,,,,
17/Oct/2021,Tortas, Eat Out ,,,,,, $ 90.00 ,,,,
21/Oct/2021,Datacamp, Learn ,,,,,,,," $ 2,008.31 ",,
23/Oct/2021,Jaz cel, Services ,,, $ 265.00 ,,,,,,,
23/Oct/2021,Spotify, Entretainment ,,,,,,, $ 149.00 ,,,
23/Oct/2021,Rappi, Eat Out ,,,,,,, $ 374.50 ,,,
24/Oct/2021,Sams, Food Med ,,,,,,, $ 906.36 ,,,
24/Oct/2021,Wal-Mart , Food Med ,,,,, $ 617.43 ,,,,,
28/Oct/2021,Rappi Rise, Eat Out ,,,,,,, $ 210.00 ,,,
29/Oct/2021,Cuadro, Home ,,,,,," $ 1,400.00 ",,,,
30/Oct/2021,Vacuna Ian(de FE), Baby ,,," $ 1,100.00 ",,,,,,,
30/Oct/2021,Tamales, Eat Out ,,,,,, $ 42.00 ,,,,
30/Oct/2021,Gasolina, Car ,,,,,, $ 8.00 , $ 683.70 ,,,
30/Oct/2021,Ropa Jaz, Clothes ,,,,,,," $ 1,596.00 ",,,
30/Oct/2021,Estacionamiento, Go Out ,,,,,, $ 55.00 ,,,,
30/Oct/2021,Tacos Paisa, Eat Out ,,,,,, $ 280.00 ,,,,
30/Oct/2021,Walmart, Food Med ,,,,,,,,,," $ 1,992.40 "
31/Oct/2021,Hidalgo, Go Out ,,,,,, $ 200.00 , $ 102.00 ,,,
2/Nov/2021,Shushi Roll, Eat Out ,,,,,,, $ 862.00 ,,,
2/Nov/2021,Estacionamiento, Go Out ,,,,,, $ 65.00 ,,,,
2/Nov/2021,Chedrahui, Food Med ,,,,,,,,,, $ 121.51 
2/Nov/2021,Papilla Ian, Food Med ,,,,,,, $ 108.00 ,,,
5/Nov/2021,Elote Beer, Eat Out ,,,,,, $ 86.00 ,,,,
6/Nov/2021,Lego, Go Out ,, $ 249.00 ,,,,,,,,
6/Nov/2021,Tamales, Eat Out ,,,,,, $ 52.00 ,,,,
6/Nov/2021,Gasolina, Car ,,,,,, $ 10.00 , $ 962.60 ,,,
